method,transition,metric,variable,value
dann,mm10->dm6,roc_auc,worse_count,0
jan,dm6->mm10,accuracy,worse_count,-3
jan,dm6->mm10,pr_auc,worse_count,-3
jan,dm6->mm10,roc_auc,worse_count,-3
jan,hg38->mm10,accuracy,worse_count,-56
jan,hg38->mm10,pr_auc,worse_count,-57
jan,hg38->mm10,roc_auc,worse_count,-56
jan,hg38->dm6,accuracy,worse_count,-3
jan,hg38->dm6,pr_auc,worse_count,-3
jan,hg38->dm6,roc_auc,worse_count,-3
jan,dm6->hg38,accuracy,worse_count,-3
jan,dm6->hg38,pr_auc,worse_count,-2
jan,dm6->hg38,roc_auc,worse_count,-3
jan,mm10->hg38,accuracy,worse_count,-59
jan,mm10->hg38,pr_auc,worse_count,-58
jan,mm10->hg38,roc_auc,worse_count,-57
jan,mm10->dm6,accuracy,worse_count,0
jan,mm10->dm6,pr_auc,worse_count,0
jan,mm10->dm6,roc_auc,worse_count,0
mcc,dm6->mm10,accuracy,worse_count,-3
mcc,dm6->mm10,pr_auc,worse_count,-3
mcc,dm6->mm10,roc_auc,worse_count,-3
mcc,hg38->mm10,accuracy,worse_count,-18
mcc,hg38->mm10,pr_auc,worse_count,-23
mcc,hg38->mm10,roc_auc,worse_count,-21
mcc,hg38->dm6,accuracy,worse_count,-3
mcc,hg38->dm6,pr_auc,worse_count,-3
mcc,hg38->dm6,roc_auc,worse_count,-3
mcc,dm6->hg38,accuracy,worse_count,-3
mcc,dm6->hg38,pr_auc,worse_count,-3
mcc,dm6->hg38,roc_auc,worse_count,-3
mcc,mm10->hg38,accuracy,worse_count,-29
mcc,mm10->hg38,pr_auc,worse_count,-22
mcc,mm10->hg38,roc_auc,worse_count,-20
mcc,mm10->dm6,accuracy,worse_count,0
mcc,mm10->dm6,pr_auc,worse_count,0
mcc,mm10->dm6,roc_auc,worse_count,0
mcd,dm6->mm10,accuracy,worse_count,-2
mcd,dm6->mm10,pr_auc,worse_count,-2
mcd,dm6->mm10,roc_auc,worse_count,-1
mcd,hg38->mm10,accuracy,worse_count,-37
mcd,hg38->mm10,pr_auc,worse_count,-42
mcd,hg38->mm10,roc_auc,worse_count,-40
mcd,hg38->dm6,accuracy,worse_count,-3
mcd,hg38->dm6,pr_auc,worse_count,-3
mcd,hg38->dm6,roc_auc,worse_count,-2
mcd,dm6->hg38,accuracy,worse_count,-2
mcd,dm6->hg38,pr_auc,worse_count,-2
mcd,dm6->hg38,roc_auc,worse_count,-2
mcd,mm10->hg38,accuracy,worse_count,-52
mcd,mm10->hg38,pr_auc,worse_count,-56
mcd,mm10->hg38,roc_auc,worse_count,-54
mcd,mm10->dm6,accuracy,worse_count,0
mcd,mm10->dm6,pr_auc,worse_count,0
mcd,mm10->dm6,roc_auc,worse_count,0
mdd,dm6->mm10,accuracy,worse_count,-3
mdd,dm6->mm10,pr_auc,worse_count,-3
mdd,dm6->mm10,roc_auc,worse_count,-3
mdd,hg38->mm10,accuracy,worse_count,-47
mdd,hg38->mm10,pr_auc,worse_count,-50
mdd,hg38->mm10,roc_auc,worse_count,-50
mdd,hg38->dm6,accuracy,worse_count,-2
mdd,hg38->dm6,pr_auc,worse_count,0
mdd,hg38->dm6,roc_auc,worse_count,-2
mdd,dm6->hg38,accuracy,worse_count,-2
mdd,dm6->hg38,pr_auc,worse_count,-2
mdd,dm6->hg38,roc_auc,worse_count,-2
mdd,mm10->hg38,accuracy,worse_count,-56
mdd,mm10->hg38,pr_auc,worse_count,-58
mdd,mm10->hg38,roc_auc,worse_count,-57
mdd,mm10->dm6,accuracy,worse_count,0
mdd,mm10->dm6,pr_auc,worse_count,-1
mdd,mm10->dm6,roc_auc,worse_count,-1
adda,mm10->ce11,accuracy,worse_count,-1
adda,mm10->ce11,pr_auc,worse_count,-2
adda,mm10->ce11,roc_auc,worse_count,-2
adda,hg38->ce11,accuracy,worse_count,-3
adda,hg38->ce11,pr_auc,worse_count,-3
adda,hg38->ce11,roc_auc,worse_count,-3
adda,ce11->hg38,accuracy,worse_count,-3
adda,ce11->hg38,pr_auc,worse_count,-3
adda,ce11->hg38,roc_auc,worse_count,-3
adda,ce11->mm10,accuracy,worse_count,-3
adda,ce11->mm10,pr_auc,worse_count,-4
adda,ce11->mm10,roc_auc,worse_count,-4
afn,mm10->ce11,accuracy,worse_count,-3
afn,mm10->ce11,pr_auc,worse_count,-2
afn,mm10->ce11,roc_auc,worse_count,-2
afn,hg38->ce11,accuracy,worse_count,-3
afn,hg38->ce11,pr_auc,worse_count,-2
